iter	Passed	Remaining
178	367	1684
179	369	1682
180	371	1681
181	373	1679
182	375	1676
183	377	1673
184	379	1671
185	381	1669
186	383	1667
187	385	1665
188	387	1662
189	389	1659
190	391	1657
191	393	1654
192	395	1652
193	397	1650
194	399	1647
195	401	1645
196	403	1642
197	404	1639
198	406	1637
199	408	1634
200	410	1633
201	412	1630
202	414	1628
203	416	1626
204	418	1624
205	420	1621
206	422	1618
207	424	1616
208	426	1614
209	428	1611
210	430	1609
211	432	1606
212	434	1604
213	436	1601
214	438	1599
215	439	1597
216	441	1594
217	443	1592
218	445	1589
219	447	1587
220	449	1585
221	451	1583
222	453	1581
223	455	1579
224	457	1577
225	460	1575
226	461	1573
227	463	1570
228	465	1568
229	467	1566
230	469	1564
231	471	1561
232	473	1559
233	475	1556
234	477	1554
235	479	1552
236	481	1550
237	483	1548
238	485	1546
239	487	1543
240	489	1541
241	491	1539
242	493	1537
243	495	1535
244	497	1533
245	499	1531
246	501	1528
247	503	1527
248	505	1525
249	507	1523
250	509	1521
251	512	1520
252	514	1518
253	516	1516
254	518	1514
255	520	1512
256	522	1510
257	524	1508
258	526	1506
259	528	1504
260	530	1501
261	532	1499
262	534	1497
263	536	1495
264	538	1493
265	540	1490
266	542	1488
267	544	1486
268	546	1483
269	548	1481
270	550	1479
271	552	1477
272	554	1475
273	556	1473
274	558	1471
275	560	1469
276	562	1467
277	564	1465
278	566	1463
279	568	1460
280	570	1458
281	571	1456
282	573	1454
283	575	1451
284	577	1449
285	579	1447
286	581	1445
287	583	1443
288	585	1440
289	587	1438
290	589	1435
291	591	1433
292	593	1431
293	595	1429
294	597	1426
295	598	1424
296	601	1422
297	603	1420
298	604	1418
299	607	1416
300	609	1414
301	611	1412
302	613	1410
303	614	1407
304	617	1405
305	618	1403
306	620	1401
307	622	1399
308	624	1397
309	626	1394
310	628	1392
311	630	1390
312	632	1388
313	634	1385
314	636	1383
315	638	1381
316	640	1379
317	642	1377
318	644	1375
319	646	1372
320	648	1370
321	649	1368
322	652	1367
323	654	1365
324	656	1363
325	658	1361
326	660	1359
327	662	1357
328	664	1355
329	666	1353
330	668	1351
331	670	1349
332	672	1347
333	674	1345
334	676	1343
335	678	1341
336	680	1338
337	682	1336
338	684	1334
339	686	1332
340	688	1330
341	690	1328
342	692	1326
343	694	1323
344	696	1321
345	698	1319
346	700	1318
347	702	1316
348	704	1314
349	706	1312
350	708	1310
351	710	1308
352	712	1306
353	714	1304
354	716	1301
355	718	1299
356	720	1298
357	722	1296
358	724	1294
359	726	1291
360	728	1289
361	730	1287
362	732	1285
363	734	1283
364	736	1281
365	738	1278
366	740	1276
367	742	1274
368	744	1273
369	746	1271
370	748	1269
371	750	1267
372	753	1266
373	755	1264
374	758	1263
375	760	1262
376	762	1260
377	765	1258
378	767	1257
379	769	1255
380	771	1254
381	774	1252
382	776	1250
383	778	1249
384	781	1247
385	783	1245
386	785	1243
387	787	1242
388	789	1240
389	791	1238
390	794	1236
391	796	1235
392	798	1233
393	800	1231
394	802	1229
395	805	1228
396	807	1226
397	809	1225
398	812	1223
399	814	1221
400	816	1219
401	819	1218
402	821	1216
403	823	1214
404	825	1212
405	827	1211
406	829	1209
407	832	1207
408	834	1205
409	836	1203
410	838	1201
411	840	1199
412	843	1198
413	845	1196
414	847	1194
415	849	1192
416	852	1191
417	854	1189
418	856	1187
419	858	1185
420	860	1183
421	862	1181
422	865	1180
423	867	1178
424	869	1176
425	871	1174
426	873	1172
427	876	1170
428	878	1169
429	880	1167
430	882	1165
431	884	1163
432	886	1161
433	888	1159
434	891	1157
435	893	1155
436	895	1153
437	897	1151
438	899	1149
439	902	1148
440	904	1146
441	906	1143
442	908	1142
443	910	1140
444	912	1138
445	915	1136
446	917	1134
447	919	1132
448	921	1130
449	923	1129
450	925	1127
451	928	1125
452	930	1123
453	932	1121
454	934	1119
455	936	1117
456	938	1115
457	940	1113
458	942	1110
459	944	1108
460	946	1106
461	948	1104
462	950	1102
463	952	1100
464	955	1099
465	957	1097
466	959	1095
467	961	1093
468	963	1091
469	965	1089
470	967	1086
471	969	1084
472	972	1083
473	974	1081
474	976	1079
475	978	1077
476	980	1075
477	982	1073
478	985	1071
479	987	1069
480	989	1067
481	991	1065
482	994	1064
483	996	1062
484	998	1060
485	1000	1058
486	1002	1056
487	1004	1054
488	1007	1052
489	1009	1050
490	1011	1048
491	1013	1046
492	1015	1044
493	1017	1042
494	1020	1040
495	1022	1038
496	1024	1036
497	1026	1035
498	1029	1033
499	1031	1031
500	1033	1029
501	1035	1027
502	1037	1025
503	1039	1023
504	1042	1021
505	1044	1019
506	1046	1017
507	1048	1015
508	1051	1013
509	1053	1011
510	1055	1010
511	1057	1008
512	1059	1006
513	1062	1004
514	1064	1002
515	1066	1000
516	1068	998
517	1071	996
518	1073	994
519	1075	992
520	1077	990
521	1079	988
522	1082	987
523	1084	984
524	1086	983
525	1088	981
526	1090	979
527	1092	977
528	1095	975
529	1097	973
530	1099	971
531	1102	969
532	1104	967
533	1106	965
534	1109	963
535	1111	961
536	1113	959
537	1115	958
538	1117	956
539	1120	954
540	1122	952
541	1124	950
542	1126	948
543	1128	946
544	1131	944
545	1133	942
546	1135	940
547	1137	938
548	1139	936
549	1142	934
550	1144	932
551	1146	930
552	1148	928
553	1150	926
554	1153	925
555	1156	923
556	1158	921
557	1160	919
558	1162	917
559	1164	915
560	1166	913
561	1168	911
562	1171	909
563	1173	906
564	1175	904
565	1177	902
566	1179	900
567	1181	898
568	1183	896
569	1185	894
570	1187	892
571	1189	890
572	1192	888
573	1194	886
574	1196	884
575	1198	882
576	1201	880
577	1203	878
578	1205	876
579	1207	874
580	1209	872
581	1212	870
582	1214	868
583	1216	866
584	1218	864
585	1220	862
586	1223	860
587	1225	858
588	1227	856
589	1229	854
590	1231	852
591	1234	850
592	1236	848
593	1238	846
594	1240	844
595	1242	842
596	1244	840
597	1246	838
598	1248	836
599	1251	834
600	1253	832
601	1255	830
602	1258	828
603	1260	826
604	1262	824
605	1264	822
606	1267	820
607	1269	818
608	1271	816
609	1273	814
610	1275	812
611	1277	810
612	1279	808
613	1281	805
614	1284	803
615	1286	801
616	1288	800
617	1291	798
618	1293	796
619	1295	794
620	1297	792
621	1300	790
622	1302	787
623	1304	786
624	1306	783
625	1308	781
626	1310	779
627	1313	777
628	1315	775
629	1317	773
630	1319	771
631	1321	769
632	1323	767
633	1326	765
634	1328	763
635	1330	761
636	1332	759
637	1334	757
638	1336	755
639	1339	753
640	1341	751
641	1343	749
642	1345	747
643	1347	744
644	1349	742
645	1352	740
646	1354	738
647	1359	738
648	1361	736
649	1363	734
650	1365	732
651	1367	730
652	1369	727
653	1371	725
654	1374	723
655	1376	721
656	1378	719
657	1380	717
658	1381	715
659	1383	712
660	1385	710
661	1387	708
662	1389	706
663	1391	704
664	1393	701
665	1395	699
666	1397	697
667	1399	695
668	1401	693
669	1403	691
670	1405	688
671	1406	686
672	1408	684
673	1410	682
674	1412	680
675	1414	677
676	1416	675
677	1418	673
678	1420	671
679	1422	669
680	1423	667
681	1425	664
682	1427	662
683	1429	660
684	1431	658
685	1433	656
686	1435	653
687	1437	651
688	1439	649
689	1441	647
690	1443	645
691	1445	643
692	1447	641
693	1449	638
694	1451	636
695	1453	634
696	1455	632
697	1457	630
698	1459	628
699	1461	626
700	1463	624
701	1465	621
702	1467	619
703	1469	617
704	1471	615
705	1472	613
706	1474	611
707	1477	609
708	1479	607
709	1481	604
710	1483	602
711	1485	600
712	1487	598
713	1489	596
714	1491	594
715	1493	592
716	1495	590
717	1497	588
718	1499	585
719	1501	583
720	1503	581
721	1505	579
722	1507	577
723	1509	575
724	1511	573
725	1513	571
726	1515	569
727	1517	566
728	1519	564
729	1520	562
730	1523	560
731	1524	558
732	1527	556
733	1529	554
734	1531	552
735	1533	549
736	1535	547
737	1536	545
738	1538	543
739	1541	541
740	1543	539
741	1545	537
742	1547	535
743	1549	533
744	1551	531
745	1553	528
746	1555	526
747	1557	524
748	1559	522
749	1561	520
750	1563	518
751	1565	516
752	1567	514
753	1569	512
754	1571	510
755	1573	507
756	1575	505
757	1577	503
758	1579	501
759	1581	499
760	1583	497
761	1585	495
762	1587	493
763	1589	490
764	1591	488
765	1592	486
766	1594	484
767	1596	482
768	1598	480
769	1600	478
770	1602	476
771	1604	473
772	1606	471
773	1608	469
774	1610	467
775	1612	465
776	1614	463
777	1616	461
778	1618	459
779	1620	456
780	1621	454
781	1623	452
782	1625	450
783	1627	448
784	1629	446
785	1631	444
786	1633	442
787	1635	440
788	1637	437
789	1639	435
790	1641	433
791	1643	431
792	1645	429
793	1647	427
794	1649	425
795	1651	423
796	1653	421
797	1655	418
798	1657	416
799	1659	414
800	1661	412
801	1663	410
802	1665	408
803	1667	406
804	1669	404
805	1670	402
806	1672	400
807	1674	398
808	1677	395
809	1679	393
810	1681	391
811	1683	389
812	1685	387
813	1687	385
814	1689	383
815	1691	381
816	1693	379
817	1695	377
818	1697	375
819	1699	372
820	1700	370
821	1702	368
822	1704	366
823	1706	364
824	1708	362
825	1711	360
826	1712	358
827	1714	356
828	1716	354
829	1718	352
830	1720	349
831	1722	347
832	1724	345
833	1726	343
834	1728	341
835	1730	339
836	1732	337
837	1734	335
838	1736	333
839	1738	331
840	1740	329
841	1742	326
842	1744	324
843	1746	322
844	1749	320
845	1751	318
846	1753	316
847	1755	314
848	1757	312
849	1759	310
850	1761	308
851	1763	306
852	1765	304
853	1767	302
854	1769	300
855	1771	298
856	1773	295
857	1775	293
858	1777	291
859	1779	289
860	1781	287
861	1782	285
862	1784	283
863	1786	281
864	1788	279
865	1790	277
866	1792	274
867	1794	272
868	1796	270
869	1798	268
870	1800	266
871	1802	264
872	1804	262
873	1806	260
874	1808	258
875	1810	256
876	1811	254
877	1813	252
878	1815	249
879	1817	247
880	1819	245
881	1821	243
882	1823	241
883	1825	239
884	1827	237
885	1829	235
886	1831	233
887	1832	231
888	1834	229
889	1836	226
890	1838	224
891	1840	222
892	1842	220
893	1844	218
894	1847	216
895	1849	214
896	1851	212
897	1853	210
898	1854	208
899	1856	206
900	1858	204
901	1860	202
902	1862	200
903	1864	198
904	1866	195
905	1868	193
906	1870	191
907	1872	189
908	1874	187
909	1876	185
910	1879	183
911	1880	181
912	1882	179
913	1884	177
914	1886	175
915	1888	173
916	1890	171
917	1892	169
918	1894	167
919	1896	164
920	1898	162
921	1901	160
922	1903	158
923	1904	156
924	1906	154
925	1909	152
926	1910	150
927	1912	148
928	1914	146
929	1916	144
930	1918	142
931	1920	140
932	1922	138
933	1924	136
934	1926	133
935	1928	131
936	1930	129
937	1932	127
938	1934	125
939	1936	123
940	1938	121
941	1940	119
942	1942	117
943	1944	115
944	1946	113
945	1948	111
946	1950	109
947	1952	107
948	1954	105
949	1956	102
950	1958	100
951	1960	98
952	1961	96
953	1964	94
954	1965	92
955	1967	90
956	1969	88
957	1971	86
958	1974	84
959	1976	82
960	1978	80
961	1980	78
962	1982	76
963	1984	74
964	1986	72
965	1988	69
966	1990	67
967	1992	65
968	1994	63
969	1995	61
970	1997	59
971	1999	57
972	2001	55
973	2003	53
974	2005	51
975	2007	49
976	2009	47
977	2011	45
978	2013	43
979	2015	41
980	2017	39
981	2019	37
982	2021	34
983	2023	32
984	2025	30
985	2027	28
986	2029	26
987	2031	24
988	2033	22
989	2035	20
990	2037	18
991	2039	16
992	2041	14
993	2043	12
994	2045	10
995	2047	8
996	2049	6
997	2050	4
998	2052	2
999	2054	0
